Timestamp,Date,Followers
2026-02-07 00:05:08,2026-02-07,0
2026-02-07 00:07:16,2026-02-07,11855
2026-02-07 00:28:01,2026-02-07,11854
2026-02-13 10:55:23,2026-02-13,11890
